CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
10000000,Customer_0,452,France,Female,75,4,246038.19,2,1,0,81505.53,0
10000001,Customer_1,785,France,Male,70,3,242291.07,2,1,1,9034.44,0
10000002,Customer_2,698,France,Female,67,7,228440.13,2,1,0,3521.53,1
10000003,Customer_3,620,Germany,Female,21,3,108828.39,2,1,0,158772.39,0
10000004,Customer_4,456,France,Male,69,2,41667.41,2,1,0,39623.95,0
10000005,Customer_5,421,Spain,Female,48,6,146117.8,1,1,0,34992.43,1
10000006,Customer_6,538,Spain,Female,31,1,4314.13,2,0,1,57919.94,0
10000007,Customer_7,370,Germany,Male,18,3,49062.21,1,1,0,20443.53,0
10000008,Customer_8,452,Germany,Female,60,7,632.35,1,1,1,10667.71,0
10000009,Customer_9,471,Spain,Female,76,3,45133.98,2,0,1,174453.11,0
10000010,Customer_10,816,Germany,Male,78,9,118689.28,1,1,0,60564.39,0
10000011,Customer_11,564,France,Male,58,6,98331.08,1,1,0,116482.99,0
10000012,Customer_12,680,France,Female,35,1,92324.14,2,0,1,171561.74,0
10000013,Customer_13,808,Spain,Female,77,10,207738.22,1,1,0,195492.2,1
10000014,Customer_14,437,France,Male,86,4,168749.08,1,0,0,137701.5,0
10000015,Customer_15,722,France,Male,76,3,234107.94,2,0,1,190033.37,0
10000016,Customer_16,449,Germany,Female,59,8,111335.27,2,0,0,84710.69,0
10000017,Customer_17,709,Spain,Male,53,6,68057.42,1,1,1,157911.16,0
10000018,Customer_18,501,France,Female,57,8,30671.13,2,1,0,187521.23,0
10000019,Customer_19,480,Germany,Male,47,10,168006.85,4,0,1,10642.29,0
10000020,Customer_20,499,France,Male,28,9,210435.27,3,1,1,63497.21,0
10000021,Customer_21,658,Germany,Male,42,6,45934.84,2,1,1,148053.55,0
10000022,Customer_22,607,France,Male,62,1,219688.19,1,1,0,63061.51,1
10000023,Customer_23,693,France,Male,68,1,131569.05,1,0,1,3417.29,0
10000024,Customer_24,841,Spain,Female,60,1,36020.16,2,1,1,161407.17,0
10000025,Customer_25,763,France,Female,83,4,160715.83,1,0,0,32953.76,1
10000026,Customer_26,643,Germany,Male,64,0,130013.19,3,1,0,64181.22,0
10000027,Customer_27,735,France,Female,41,6,7045.89,1,1,0,182116.1,0
10000028,Customer_28,541,France,Male,54,1,99810.8,2,1,1,41780.72,0
10000029,Customer_29,793,Germany,Male,73,3,196197.0,1,1,1,178953.11,1
10000030,Customer_30,626,France,Male,63,8,138855.94,1,0,1,84515.72,0
10000031,Customer_31,510,France,Male,45,7,70510.28,2,1,1,183627.28,0
10000032,Customer_32,809,France,Female,69,9,232160.44,2,1,1,175371.76,0
10000033,Customer_33,663,Germany,Female,32,1,59444.76,2,0,0,83055.22,0
10000034,Customer_34,371,Spain,Male,62,3,63184.0,1,1,0,184375.34,0
10000035,Customer_35,602,Spain,Female,75,3,88659.84,2,1,0,126548.21,0
10000036,Customer_36,585,France,Male,84,1,223634.47,2,0,1,95128.8,0
10000037,Customer_37,694,France,Male,90,1,126906.35,1,1,0,106143.31,1
